,survived,pclass,sex,age,sibsp,parch,fare,adult_male,alive,alone,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,embark_town_Queenstown,embark_town_Southampton
53,1,2,0,-0.05127604001659392,1,0,-0.05127604001659392,0,1,0,0,1,1,0,0,1,0,1
54,0,1,1,2.4006608859276692,0,1,2.4006608859276692,1,0,0,0,0,0,0,1,0,0,0
55,1,1,1,,0,0,,1,1,1,0,1,0,0,1,0,0,1
56,1,2,0,-0.5961509124486525,0,0,-0.5961509124486525,0,1,1,0,1,1,0,0,1,0,1
57,0,3,1,-0.08533071954359758,0,0,-0.08533071954359758,1,0,1,0,0,0,1,1,0,0,0
58,1,2,0,-1.6859006573127695,1,2,-1.6859006573127695,0,1,0,0,1,1,0,0,0,0,1
59,0,3,1,-1.2772445029887256,5,2,-1.2772445029887256,0,0,0,0,1,0,1,0,0,0,1
60,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,0,0,1,1,0,0,0
62,0,1,1,1.0384737048475232,1,0,1.0384737048475232,1,0,0,0,1,0,0,1,0,0,1
63,0,3,1,-1.754010016366777,3,2,-1.754010016366777,0,0,0,0,1,0,1,0,0,0,1
64,0,1,1,,0,0,,1,0,1,0,0,0,0,1,0,0,0
65,1,3,1,,1,1,,1,1,0,0,0,0,1,1,0,0,0
66,1,2,0,-0.05127604001659392,0,0,-0.05127604001659392,0,1,1,0,1,1,0,0,1,0,1
67,0,3,1,-0.732369630556667,0,0,-0.732369630556667,1,0,1,0,1,0,1,1,0,0,1
68,1,3,0,-0.8685883486646817,4,2,-0.8685883486646817,0,1,0,0,1,0,1,0,1,0,1
69,0,3,1,-0.25560411717861586,2,0,-0.25560411717861586,1,0,0,0,1,0,1,1,0,0,1
70,0,2,1,0.15305203714542803,0,0,0.15305203714542803,1,0,1,0,1,1,0,1,0,0,1
71,0,3,0,-0.936697707718689,5,2,-0.936697707718689,0,0,0,0,1,0,1,0,1,0,1
72,0,2,1,-0.5961509124486525,0,0,-0.5961509124486525,1,0,1,0,1,1,0,1,0,0,1
73,0,3,1,-0.25560411717861586,1,0,-0.25560411717861586,1,0,0,0,0,0,1,1,0,0,0
74,1,3,1,0.15305203714542803,0,0,0.15305203714542803,1,1,1,0,1,0,1,1,0,0,1
75,0,3,1,-0.3237134762326232,0,0,-0.3237134762326232,1,0,1,0,1,0,1,1,0,0,1
78,1,2,1,-1.96991668456798,0,2,-1.96991668456798,0,1,0,0,1,1,0,0,0,0,1
79,1,3,0,0.016833319037413395,0,0,0.016833319037413395,0,1,1,0,1,0,1,0,1,0,1
80,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
81,1,3,1,-0.05127604001659392,0,0,-0.05127604001659392,1,1,1,0,1,0,1,1,0,0,1
82,1,3,0,,0,0,,0,1,1,1,0,0,1,0,1,1,0
83,0,1,1,-0.11938539907060124,0,0,-0.11938539907060124,1,0,1,0,1,0,0,1,0,0,1
84,1,2,0,-0.8685883486646817,0,0,-0.8685883486646817,0,1,1,0,1,1,0,0,1,0,1
85,1,3,0,0.22116139619943534,3,0,0.22116139619943534,0,1,0,0,1,0,1,0,1,0,1
86,0,3,1,-0.936697707718689,1,3,-0.936697707718689,1,0,0,0,1,0,1,1,0,0,1
88,1,1,0,-0.4599321943406378,3,2,-0.4599321943406378,0,1,0,0,1,0,0,0,1,0,1
89,0,3,1,-0.39182283528663053,0,0,-0.39182283528663053,1,0,1,0,1,0,1,1,0,0,1
90,0,3,1,-0.05127604001659392,0,0,-0.05127604001659392,1,0,1,0,1,0,1,1,0,0,1
91,0,3,1,-0.6642602715026598,0,0,-0.6642602715026598,1,0,1,0,1,0,1,1,0,0,1
92,0,1,1,1.1065830639015304,1,0,1.1065830639015304,1,0,0,0,1,0,0,1,0,0,1
93,0,3,1,-0.25560411717861586,1,2,-0.25560411717861586,1,0,0,0,1,0,1,1,0,0,1
94,0,3,1,1.9920047316036256,0,0,1.9920047316036256,1,0,1,0,1,0,1,1,0,0,1
96,0,1,1,2.809317040251713,0,0,2.809317040251713,1,0,1,0,0,0,0,1,0,0,0
97,1,1,1,-0.4599321943406378,0,1,-0.4599321943406378,1,1,0,0,0,0,0,1,0,0,0
98,1,2,0,0.28927075525344265,0,1,0.28927075525344265,0,1,0,0,1,1,0,0,1,0,1
99,0,2,1,0.28927075525344265,1,0,0.28927075525344265,1,0,0,0,1,1,0,1,0,0,1
100,0,3,0,-0.11938539907060124,0,0,-0.11938539907060124,0,0,1,0,1,0,1,0,1,0,1
102,0,1,1,-0.5961509124486525,0,1,-0.5961509124486525,1,0,0,0,1,0,0,1,0,0,1
103,0,3,1,0.22116139619943534,0,0,0.22116139619943534,1,0,1,0,1,0,1,1,0,0,1
104,0,3,1,0.4935988324154646,2,0,0.4935988324154646,1,0,0,0,1,0,1,1,0,0,1
105,0,3,1,-0.11938539907060124,0,0,-0.11938539907060124,1,0,1,0,1,0,1,1,0,0,1
106,1,3,0,-0.5961509124486525,0,0,-0.5961509124486525,0,1,1,0,1,0,1,0,1,0,1
107,1,3,1,,0,0,,1,1,1,0,1,0,1,1,0,0,1
108,0,3,1,0.5617081914694719,0,0,0.5617081914694719,1,0,1,0,1,0,1,1,0,0,1
109,1,3,0,,1,0,,0,1,0,1,0,0,1,0,1,1,0
110,0,1,1,1.1746924229555378,0,0,1.1746924229555378,1,0,1,0,1,0,0,1,0,0,1
111,0,3,0,-1.0388617462997,1,0,-1.0388617462997,0,0,0,0,0,0,1,0,0,0,0
112,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
113,0,3,0,-0.6642602715026598,1,0,-0.6642602715026598,0,0,0,0,1,0,1,0,1,0,1
114,0,3,0,-0.8685883486646817,0,0,-0.8685883486646817,0,0,1,0,0,0,1,0,1,0,0
115,0,3,1,-0.5961509124486525,0,0,-0.5961509124486525,1,0,1,0,1,0,1,1,0,0,1
116,0,3,1,2.7752623607247093,0,0,2.7752623607247093,1,0,1,1,0,0,1,1,0,1,0
117,0,2,1,-0.05127604001659392,1,0,-0.05127604001659392,1,0,0,0,1,1,0,1,0,0,1
118,0,1,1,-0.39182283528663053,0,1,-0.39182283528663053,1,0,0,0,0,0,0,1,0,0,0
119,0,3,0,-1.8902287344747914,4,2,-1.8902287344747914,0,0,0,0,1,0,1,0,0,0,1
120,0,2,1,-0.5961509124486525,2,0,-0.5961509124486525,1,0,0,0,1,1,0,1,0,0,1
122,0,2,1,0.18710671667243167,1,0,0.18710671667243167,1,0,0,0,0,1,0,1,0,0,0
123,1,2,0,0.18710671667243167,0,0,0.18710671667243167,0,1,1,0,1,1,0,0,1,0,1
124,0,1,1,1.651457936333589,0,1,1.651457936333589,1,0,0,0,1,0,0,1,0,0,1
125,1,3,1,-1.2091351439347182,1,0,-1.2091351439347182,0,1,0,0,0,0,1,0,0,0,0
126,0,3,1,,0,0,,1,0,1,1,0,0,1,1,0,1,0
127,1,3,1,-0.39182283528663053,0,0,-0.39182283528663053,1,1,1,0,1,0,1,1,0,0,1
128,1,3,0,,1,1,,0,1,0,0,0,0,1,0,1,0,0
129,0,3,1,1.0384737048475232,0,0,1.0384737048475232,1,0,1,0,1,0,1,1,0,0,1
130,0,3,1,0.22116139619943534,0,0,0.22116139619943534,1,0,1,0,0,0,1,1,0,0,0
131,0,3,1,-0.6642602715026598,0,0,-0.6642602715026598,1,0,1,0,1,0,1,1,0,0,1
132,0,3,0,1.1746924229555378,1,0,1.1746924229555378,0,0,0,0,1,0,1,0,1,0,1
134,0,2,1,-0.3237134762326232,0,0,-0.3237134762326232,1,0,1,0,1,1,0,1,0,0,1
135,0,2,1,-0.4599321943406378,0,0,-0.4599321943406378,1,0,1,0,0,1,0,1,0,0,0
136,1,1,0,-0.732369630556667,0,2,-0.732369630556667,0,1,0,0,1,0,0,0,1,0,1
137,0,1,1,0.4935988324154646,1,0,0.4935988324154646,1,0,0,0,1,0,0,1,0,0,1
138,0,3,1,-0.936697707718689,0,0,-0.936697707718689,1,0,1,0,1,0,1,1,0,0,1
139,0,1,1,-0.39182283528663053,0,0,-0.39182283528663053,1,0,1,0,0,0,0,1,0,0,0
140,0,3,0,,0,2,,0,0,0,0,0,0,1,0,1,0,0
141,1,3,0,-0.5280415533946451,0,0,-0.5280415533946451,0,1,1,0,1,0,1,0,1,0,1
142,1,3,0,-0.39182283528663053,1,0,-0.39182283528663053,0,1,0,0,1,0,1,0,1,0,1
143,0,3,1,-0.732369630556667,0,0,-0.732369630556667,1,0,1,1,0,0,1,1,0,1,0
144,0,2,1,-0.8004789896106744,0,0,-0.8004789896106744,1,0,1,0,1,1,0,1,0,0,1
145,0,2,1,-0.732369630556667,1,1,-0.732369630556667,1,0,0,0,1,1,0,1,0,0,1
146,1,3,1,-0.18749475812460856,0,0,-0.18749475812460856,1,1,1,0,1,0,1,1,0,0,1
147,0,3,0,-1.4134632210967402,2,2,-1.4134632210967402,0,0,0,0,1,0,1,0,0,0,1
148,0,2,1,0.45954415288846095,0,2,0.45954415288846095,1,0,0,0,1,1,0,1,0,0,1
149,0,2,1,0.8341456276855012,0,0,0.8341456276855012,1,0,1,0,1,1,0,1,0,0,1
150,0,2,1,1.4471298591715671,0,0,1.4471298591715671,1,0,1,0,1,1,0,1,0,0,1
151,1,1,0,-0.5280415533946451,1,0,-0.5280415533946451,0,1,0,0,1,0,0,0,1,0,1
152,0,3,1,1.7536219749146,0,0,1.7536219749146,1,0,1,0,1,0,1,1,0,0,1
153,0,3,1,0.7319815891044902,0,2,0.7319815891044902,1,0,0,0,1,0,1,1,0,0,1
154,0,3,1,,0,0,,1,0,1,0,1,0,1,1,0,0,1
155,0,1,1,1.4471298591715671,0,1,1.4471298591715671,1,0,0,0,0,0,0,1,0,0,0
156,1,3,0,-0.936697707718689,0,0,-0.936697707718689,0,1,1,1,0,0,1,0,1,1,0
157,0,3,1,0.016833319037413395,0,0,0.016833319037413395,1,0,1,0,1,0,1,1,0,0,1
158,0,3,1,,0,0,,1,0,1,0,1,0,1,1,0,0,1
159,0,3,1,,8,2,,1,0,0,0,1,0,1,1,0,0,1
160,0,3,1,0.9703643457935158,0,1,0.9703643457935158,1,0,0,0,1,0,1,1,0,0,1
161,1,2,0,0.6979269095774866,0,0,0.6979269095774866,0,1,1,0,1,1,0,0,1,0,1
162,0,3,1,-0.25560411717861586,0,0,-0.25560411717861586,1,0,1,0,1,0,1,1,0,0,1
163,0,3,1,-0.8685883486646817,0,0,-0.8685883486646817,1,0,1,0,1,0,1,1,0,0,1
164,0,3,1,-1.9583380935287988,4,1,-1.9583380935287988,0,0,0,0,1,0,1,0,0,0,1
165,1,3,1,-1.4134632210967402,0,2,-1.4134632210967402,0,1,0,0,1,0,1,0,0,0,1
166,1,1,0,,0,1,,0,1,0,0,1,0,0,0,1,0,1
167,0,3,0,1.0384737048475232,1,4,1.0384737048475232,0,0,0,0,1,0,1,0,1,0,1
168,0,1,1,,0,0,,1,0,1,0,1,0,0,1,0,0,1
169,0,3,1,-0.11938539907060124,0,0,-0.11938539907060124,1,0,1,0,1,0,1,1,0,0,1
170,0,1,1,2.12822344971164,0,0,2.12822344971164,1,0,1,0,1,0,0,1,0,0,1
171,0,3,1,-1.754010016366777,4,1,-1.754010016366777,0,0,0,1,0,0,1,0,0,1,0
172,1,3,0,-1.9583380935287988,1,1,-1.9583380935287988,0,1,0,0,1,0,1,0,0,0,1
174,0,1,1,1.7876766544416036,0,0,1.7876766544416036,1,0,1,0,0,0,0,1,0,0,0
175,0,3,1,-0.8004789896106744,1,1,-0.8004789896106744,1,0,0,0,1,0,1,1,0,0,1
176,0,3,1,,3,1,,1,0,0,0,1,0,1,1,0,0,1
177,0,1,0,1.3790205001175597,0,0,1.3790205001175597,0,0,1,0,0,0,0,0,1,0,0
178,0,2,1,0.016833319037413395,0,0,0.016833319037413395,1,0,1,0,1,1,0,1,0,0,1
179,0,3,1,0.4254894733614573,0,0,0.4254894733614573,1,0,1,0,1,0,1,1,0,0,1
180,0,3,0,,8,2,,0,0,0,0,1,0,1,0,1,0,1
181,0,2,1,,0,0,,1,0,1,0,0,1,0,1,0,0,0
182,0,3,1,-1.4134632210967402,4,2,-1.4134632210967402,0,0,0,0,1,0,1,0,0,0,1
183,1,2,1,-1.9583380935287988,2,1,-1.9583380935287988,0,1,0,0,1,1,0,0,0,0,1
184,1,3,0,-1.754010016366777,0,2,-1.754010016366777,0,1,0,0,1,0,1,0,0,0,1
185,0,1,1,,0,0,,1,0,1,0,1,0,0,1,0,0,1
186,1,3,0,,1,0,,0,1,0,1,0,0,1,0,1,1,0
187,1,1,1,1.0384737048475232,0,0,1.0384737048475232,1,1,1,0,1,0,0,1,0,0,1
188,0,3,1,0.6979269095774866,1,1,0.6979269095774866,1,0,0,1,0,0,1,1,0,1,0
189,0,3,1,0.4254894733614573,0,0,0.4254894733614573,1,0,1,0,1,0,1,1,0,0,1
190,1,2,0,0.15305203714542803,0,0,0.15305203714542803,0,1,1,0,1,1,0,0,1,0,1
191,0,2,1,-0.732369630556667,0,0,-0.732369630556667,1,0,1,0,1,1,0,1,0,0,1
192,1,3,0,-0.732369630556667,1,0,-0.732369630556667,0,1,0,0,1,0,1,0,1,0,1
193,1,2,1,-1.822119375420784,1,1,-1.822119375420784,0,1,0,0,1,1,0,0,0,0,1
194,1,1,0,0.9703643457935158,0,0,0.9703643457935158,0,1,1,0,0,0,0,0,1,0,0
195,1,1,0,1.9238953725496182,0,0,1.9238953725496182,0,1,1,0,0,0,0,0,1,0,0
197,0,3,1,0.8341456276855012,0,1,0.8341456276855012,1,0,0,0,1,0,1,1,0,0,1
199,0,2,0,-0.39182283528663053,0,0,-0.39182283528663053,0,0,1,0,1,1,0,0,1,0,1
200,0,3,1,-0.11938539907060124,0,0,-0.11938539907060124,1,0,1,0,1,0,1,1,0,0,1
202,0,3,1,0.28927075525344265,0,0,0.28927075525344265,1,0,1,0,1,0,1,1,0,0,1
203,0,3,1,1.0725283843745268,0,0,1.0725283843745268,1,0,1,0,0,0,1,1,0,0,0
204,1,3,1,-0.8004789896106744,0,0,-0.8004789896106744,1,1,1,0,1,0,1,1,0,0,1
205,0,3,0,-1.8902287344747914,0,1,-1.8902287344747914,0,0,0,0,1,0,1,0,0,0,1
206,0,3,1,0.15305203714542803,1,0,0.15305203714542803,1,0,0,0,1,0,1,1,0,0,1
207,1,3,1,-0.25560411717861586,0,0,-0.25560411717861586,1,1,1,0,0,0,1,1,0,0,0
208,1,3,0,-0.936697707718689,0,0,-0.936697707718689,0,1,1,1,0,0,1,0,1,1,0
209,1,1,1,0.6979269095774866,0,0,0.6979269095774866,1,1,1,0,0,0,0,1,0,0,0
210,0,3,1,-0.39182283528663053,0,0,-0.39182283528663053,1,0,1,0,1,0,1,1,0,0,1
211,1,2,0,0.35738011430745,0,0,0.35738011430745,0,1,1,0,1,1,0,0,1,0,1
212,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
214,0,3,1,,1,0,,1,0,0,1,0,0,1,1,0,1,0
215,1,1,0,0.08494267809142071,1,0,0.08494267809142071,0,1,0,0,0,0,0,0,1,0,0
216,1,3,0,-0.18749475812460856,0,0,-0.18749475812460856,0,1,1,0,1,0,1,0,1,0,1
217,0,2,1,0.8341456276855012,1,0,0.8341456276855012,1,0,0,0,1,1,0,1,0,0,1
218,1,1,0,0.15305203714542803,0,0,0.15305203714542803,0,1,1,0,0,0,0,0,1,0,0
219,0,2,1,0.016833319037413395,0,0,0.016833319037413395,1,0,1,0,1,1,0,1,0,0,1
220,1,3,1,-0.936697707718689,0,0,-0.936697707718689,1,1,1,0,1,0,1,1,0,0,1
221,0,2,1,-0.18749475812460856,0,0,-0.18749475812460856,1,0,1,0,1,1,0,1,0,0,1
222,0,3,1,1.4471298591715671,0,0,1.4471298591715671,1,0,1,0,1,0,1,1,0,0,1
224,1,1,1,0.5617081914694719,1,0,0.5617081914694719,1,1,0,0,1,0,0,1,0,0,1
225,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
226,1,2,1,-0.732369630556667,0,0,-0.732369630556667,1,1,1,0,1,1,0,1,0,0,1
227,0,3,1,-0.6302055919756561,0,0,-0.6302055919756561,1,0,1,0,1,0,1,1,0,0,1
228,0,2,1,-0.8004789896106744,0,0,-0.8004789896106744,1,0,1,0,1,1,0,1,0,0,1
229,0,3,0,,3,1,,0,0,0,0,1,0,1,0,1,0,1
230,1,1,0,0.35738011430745,1,0,0.35738011430745,0,1,0,0,1,0,0,0,1,0,1
231,0,3,1,-0.05127604001659392,0,0,-0.05127604001659392,1,0,1,0,1,0,1,1,0,0,1
232,0,2,1,1.9920047316036256,0,0,1.9920047316036256,1,0,1,0,1,1,0,1,0,0,1
233,1,3,0,-1.6859006573127695,4,2,-1.6859006573127695,0,1,0,0,1,0,1,0,0,0,1
234,0,2,1,-0.39182283528663053,0,0,-0.39182283528663053,1,0,1,0,1,1,0,1,0,0,1
235,0,3,0,,0,0,,0,0,1,0,1,0,1,0,1,0,1
236,0,2,1,0.9703643457935158,1,0,0.9703643457935158,1,0,0,0,1,1,0,1,0,0,1
237,1,2,0,-1.4815725801507476,0,2,-1.4815725801507476,0,1,0,0,1,1,0,0,0,0,1
238,0,2,1,-0.732369630556667,0,0,-0.732369630556667,1,0,1,0,1,1,0,1,0,0,1
239,0,2,1,0.22116139619943534,0,0,0.22116139619943534,1,0,1,0,1,1,0,1,0,0,1
240,0,3,0,,1,0,,0,0,0,0,0,0,1,0,1,0,0
242,0,2,1,-0.05127604001659392,0,0,-0.05127604001659392,1,0,1,0,1,1,0,1,0,0,1
243,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
244,0,3,1,0.016833319037413395,0,0,0.016833319037413395,1,0,1,0,0,0,1,1,0,0,0
245,0,1,1,0.9703643457935158,2,0,0.9703643457935158,1,0,0,1,0,0,0,1,0,1,0
246,0,3,0,-0.3237134762326232,0,0,-0.3237134762326232,0,0,1,0,1,0,1,0,1,0,1
247,1,2,0,-0.39182283528663053,0,2,-0.39182283528663053,0,1,0,0,1,1,0,0,1,0,1
248,1,1,1,0.4935988324154646,1,1,0.4935988324154646,1,1,0,0,1,0,0,1,0,0,1
249,0,2,1,1.651457936333589,1,0,1.651457936333589,1,0,0,0,1,1,0,1,0,0,1
250,0,3,1,,0,0,,1,0,1,0,1,0,1,1,0,0,1
251,0,3,0,-0.05127604001659392,1,1,-0.05127604001659392,0,0,0,0,1,0,1,0,1,0,1
252,0,1,1,2.1963328087656473,0,0,2.1963328087656473,1,0,1,0,1,0,0,1,0,0,1
253,0,3,1,0.016833319037413395,1,0,0.016833319037413395,1,0,0,0,1,0,1,1,0,0,1
254,0,3,0,0.7660362686314939,0,2,0.7660362686314939,0,0,0,0,1,0,1,0,1,0,1
255,1,3,0,-0.05127604001659392,0,2,-0.05127604001659392,0,1,0,0,0,0,1,0,1,0,0
256,1,1,0,,0,0,,0,1,1,0,0,0,0,0,1,0,0
257,1,1,0,0.016833319037413395,0,0,0.016833319037413395,0,1,1,0,1,0,0,0,1,0,1
258,1,1,0,0.35738011430745,0,0,0.35738011430745,0,1,1,0,0,0,0,0,1,0,0
259,1,2,0,1.3790205001175597,0,1,1.3790205001175597,0,1,0,0,1,1,0,0,1,0,1
261,1,3,1,-1.822119375420784,4,2,-1.822119375420784,0,1,0,0,1,0,1,0,0,0,1
262,0,1,1,1.5152392182255743,1,1,1.5152392182255743,1,0,0,0,1,0,0,1,0,0,1
263,0,1,1,0.6979269095774866,0,0,0.6979269095774866,1,0,1,0,1,0,0,1,0,0,1
264,0,3,0,,0,0,,0,0,1,1,0,0,1,0,1,1,0
265,0,2,1,0.4254894733614573,0,0,0.4254894733614573,1,0,1,0,1,1,0,1,0,0,1
266,0,3,1,-0.936697707718689,4,1,-0.936697707718689,1,0,0,0,1,0,1,1,0,0,1
267,1,3,1,-0.3237134762326232,1,0,-0.3237134762326232,1,1,0,0,1,0,1,1,0,0,1
268,1,1,0,1.9238953725496182,0,1,1.9238953725496182,0,1,0,0,1,0,0,0,1,0,1
269,1,1,0,0.35738011430745,0,0,0.35738011430745,0,1,1,0,1,0,0,0,1,0,1
270,0,1,1,,0,0,,1,0,1,0,1,0,0,1,0,0,1
271,1,3,1,-0.3237134762326232,0,0,-0.3237134762326232,1,1,1,0,1,0,1,1,0,0,1
272,1,2,0,0.7660362686314939,0,1,0.7660362686314939,0,1,0,0,1,1,0,0,1,0,1
273,0,1,1,0.4935988324154646,0,1,0.4935988324154646,1,0,0,0,0,0,0,1,0,0,0
275,1,1,0,2.2644421678196545,1,0,2.2644421678196545,0,1,0,0,1,0,0,0,1,0,1
276,0,3,0,1.0384737048475232,0,0,1.0384737048475232,0,0,1,0,1,0,1,0,1,0,1
277,0,2,1,,0,0,,1,0,1,0,1,1,0,1,0,0,1
278,0,3,1,-1.549681939204755,4,1,-1.549681939204755,0,0,0,1,0,0,1,0,0,1,0
279,1,3,0,0.35738011430745,1,1,0.35738011430745,0,1,0,0,1,0,1,0,1,0,1
280,0,3,1,2.4006608859276692,0,0,2.4006608859276692,1,0,1,1,0,0,1,1,0,1,0
281,0,3,1,-0.11938539907060124,0,0,-0.11938539907060124,1,0,1,0,1,0,1,1,0,0,1
282,0,3,1,-0.936697707718689,0,0,-0.936697707718689,1,0,1,0,1,0,1,1,0,0,1
283,1,3,1,-0.732369630556667,0,0,-0.732369630556667,1,1,1,0,1,0,1,1,0,0,1
284,0,1,1,,0,0,,1,0,1,0,1,0,0,1,0,0,1
285,0,3,1,0.22116139619943534,0,0,0.22116139619943534,1,0,1,0,0,0,1,1,0,0,0
286,1,3,1,0.016833319037413395,0,0,0.016833319037413395,1,1,1,0,1,0,1,1,0,0,1
287,0,3,1,-0.5280415533946451,0,0,-0.5280415533946451,1,0,1,0,1,0,1,1,0,0,1
288,1,2,1,0.8341456276855012,0,0,0.8341456276855012,1,1,1,0,1,1,0,1,0,0,1
289,1,3,0,-0.5280415533946451,0,0,-0.5280415533946451,0,1,1,1,0,0,1,0,1,1,0
290,1,1,0,-0.25560411717861586,0,0,-0.25560411717861586,0,1,1,0,1,0,0,0,1,0,1
291,1,1,0,-0.732369630556667,1,0,-0.732369630556667,0,1,0,0,0,0,0,0,1,0,0
292,0,2,1,0.4254894733614573,0,0,0.4254894733614573,1,0,1,0,0,1,0,1,0,0,0
